Venue,City,Date,Match Type,Teams,Name,Runs,Balls Faced,Balls Bowled,Wickets Taken,Runs Conceded,Overs Bowled,Batting Strike Rate,Bowling Strike Rate,Bowling Economy Rate
Kennington Oval,London,2019-05-30,ODI,England v South Africa,JJ Roy,54,53,0,0,0,0.0,101.88679245283019,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,Imran Tahir,0,1,60,2,61,10.0,0.0,30.0,6.1
Kennington Oval,London,2019-05-30,ODI,England v South Africa,JM Bairstow,0,1,0,0,0,0.0,0.0,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,JE Root,51,59,0,0,0,0.0,86.44067796610169,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,L Ngidi,6,5,60,3,66,10.0,120.0,20.0,6.6
Kennington Oval,London,2019-05-30,ODI,England v South Africa,K Rabada,11,19,60,2,66,10.0,57.89473684210526,30.0,6.6
Kennington Oval,London,2019-05-30,ODI,England v South Africa,D Pretorius,1,1,42,0,42,7.0,100.0,0,6.0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,AL Phehlukwayo,24,25,48,1,44,8.0,96.0,48.0,5.5
Kennington Oval,London,2019-05-30,ODI,England v South Africa,EJG Morgan,57,60,0,0,0,0.0,95.0,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,BA Stokes,89,79,17,2,12,2.5,112.65822784810126,8.5,4.235294117647059
Kennington Oval,London,2019-05-30,ODI,England v South Africa,JP Duminy,8,11,12,0,14,2.0,72.72727272727273,0,7.0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,AK Markram,11,12,18,0,16,3.0,91.66666666666667,0,5.333333333333333
Kennington Oval,London,2019-05-30,ODI,England v South Africa,JC Buttler,18,16,0,0,0,0.0,112.5,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,MM Ali,3,9,60,1,63,10.0,33.333333333333336,60.0,6.3
Kennington Oval,London,2019-05-30,ODI,England v South Africa,CR Woakes,13,14,30,0,24,5.0,92.85714285714286,0,4.8
Kennington Oval,London,2019-05-30,ODI,England v South Africa,LE Plunkett,9,6,42,2,37,7.0,150.0,21.0,5.285714285714286
Kennington Oval,London,2019-05-30,ODI,England v South Africa,JC Archer,7,3,42,3,27,7.0,233.33333333333334,14.0,3.857142857142857
Kennington Oval,London,2019-05-30,ODI,England v South Africa,Q de Kock,68,74,0,0,0,0.0,91.89189189189189,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,HM Amla,13,23,0,0,0,0.0,56.52173913043478,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,F du Plessis,5,7,0,0,0,0.0,71.42857142857143,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,HE van der Dussen,50,61,0,0,0,0.0,81.9672131147541,0,0
Kennington Oval,London,2019-05-30,ODI,England v South Africa,AU Rashid,0,0,48,1,35,8.0,0,48.0,4.375
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Imam-ul-Haq,2,11,0,0,0,0.0,18.181818181818183,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,SS Cottrell,0,0,24,1,18,4.0,0,24.0,4.5
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Fakhar Zaman,22,16,0,0,0,0.0,137.5,0,0
