Name,Full Name,Match Type,Batting Average,Batting Strike Rate,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
JJ Roy,Jason Roy,ODI,42.8,107.5,0,0,0
JJ Roy,Jason Roy,T20,30.2,147.4,0,0,17.54
Imran Tahir,Imran Tahir,ODI,7.8,69.8,24.8,32.0,4.65
Imran Tahir,Imran Tahir,T20,9.6,93.0,19.8,16.3,7.30
JM Bairstow,Jonny Bairstow,ODI,47.7,104.1,0,0,0
JM Bairstow,Jonny Bairstow,T20,40.4,141.8,0,0,0
JE Root,Joe Root,ODI,51.3,87.5,62.0,64.3,5.78
JE Root,Joe Root,T20,27.1,131.6,64.0,42.0,9.14
L Ngidi,Lungi Ngidi,ODI,15.7,71.2,23.1,25.0,5.54
L Ngidi,Lungi Ngidi,T20,0,0,14.2,14.1,6.04
K Rabada,Kagiso Rabada,ODI,16.2,77.8,27.3,32.8,5.00
K Rabada,Kagiso Rabada,T20,10.4,101.8,19.1,15.3,7.49
D Pretorius,Dewald Pretorius,ODI,15.0,93.1,28.0,35.2,4.77
D Pretorius,Dewald Pretorius,T20,23.6,132.6,24.4,17.5,8.36
AL Phehlukwayo,Andile Phehlukwayo,ODI,32.3,90.0,29.7,32.0,5.58
AL Phehlukwayo,Andile Phehlukwayo,T20,18.3,134.6,56.4,34.6,9.78
EJG Morgan,Eoin Morgan,ODI,39.4,92.5,0,0,0
EJG Morgan,Eoin Morgan,T20,25.1,127.2,0,0,0
BA Stokes,Ben Stokes,ODI,40.6,93.9,41.8,41.6,6.02
BA Stokes,Ben Stokes,T20,27.7,139.5,29.2,21.3,8.24
JP Duminy,Jean-Paul Duminy,ODI,36.3,84.6,45.7,51.0,5.37
JP Duminy,Jean-Paul Duminy,T20,40.4,125.3,35.7,26.8,8.00
AK Markram,Aiden Kyle Markram,ODI,29.2,85.3,44.0,40.0,6.60
AK Markram,Aiden Kyle Markram,T20,22.3,113.9,0,0,12.67
JC Buttler,Jos Buttler,ODI,41.4,119.9,0,0,0
JC Buttler,Jos Buttler,T20,33.5,146.9,0,0,0
MM Ali,Moeen Ali,ODI,26.0,104.1,48.7,55.4,5.27
MM Ali,Moeen Ali,T20,32.9,161.6,24.0,19.5,7.40
CR Woakes,Chris Woakes,ODI,24.7,90.1,30.5,32.7,5.60
CR Woakes,Chris Woakes,T20,21.6,130.2,24.1,17.1,8.49
LE Plunkett,Liam Plunkett,ODI,20.2,102.9,29.6,30.5,5.82
LE Plunkett,Liam Plunkett,T20,14.2,135.0,26.4,19.1,8.31
JC Archer,Jofra Chioke Archer,ODI,3.2,59.1,24.7,32.0,4.63
JC Archer,Jofra Chioke Archer,T20,16.8,139.7,22.6,17.4,7.79
Q de Kock,Quinton de Kock,ODI,45.4,95.2,0,0,0
Q de Kock,Quinton de Kock,T20,32.6,136.2,0,0,0
HM Amla,Hashim Amla,ODI,50.2,88.5,0,0,0
HM Amla,Hashim Amla,T20,32.8,125.8,0,0,15.00
F du Plessis,Faf du Plessis,ODI,47.5,88.6,94.5,96.0,5.91
F du Plessis,Faf du Plessis,T20,30.8,130.1,68.0,42.0,9.71
HE van der Dussen,Rassie van der Dussen,ODI,73.8,81.9,0,0,0
HE van der Dussen,Rassie van der Dussen,T20,46.5,131.6,0,0,0
AU Rashid,Adil Rashid,ODI,19.6,102.4,31.8,33.9,5.62
AU Rashid,Adil Rashid,T20,17.3,113.4,23.4,18.8,7.45
Imam-ul-Haq,Imam-ul-Haq,ODI,55.6,80.5,0,0,0
Imam-ul-Haq,Imam-ul-Haq,T20,28.4,130.2,0,0,0
SS Cottrell,Sheldon Cottrell,ODI,10.7,75.0,34.3,34.8,5.91
SS Cottrell,Sheldon Cottrell,T20,8.2,133.7,18.4,14.7,7.49
Fakhar Zaman,Fakhar Zaman,ODI,45.5,95.2,111.0,135.0,4.93
Fakhar Zaman,Fakhar Zaman,T20,24.7,132.5,28.0,31.7,5.31
JO Holder,Jason Holder,ODI,26.8,94.5,35.0,37.6,5.58
JO Holder,Jason Holder,T20,14.4,130.8,37.7,29.0,7.79
Babar Azam,Babar Azam,ODI,55.1,87.1,0,0,0
Babar Azam,Babar Azam,T20,35.6,122.9,0,0,0
AD Russell,Andre Russell,ODI,28.0,130.5,31.9,32.7,5.86
AD Russell,Andre Russell,T20,30.1,177.5,24.2,17.4,8.36
Haris Sohail,Haris Sohail,ODI,46.1,85.3,55.7,58.4,5.73
Haris Sohail,Haris Sohail,T20,22.8,89.8,0,0,0
CR Brathwaite,Carlos Brathwaite,ODI,16.4,91.0,41.1,42.4,5.81
CR Brathwaite,Carlos Brathwaite,T20,16.5,151.6,29.3,20.8,8.44
Sarfraz Ahmed,Sarfraz Ahmed,ODI,32.9,86.2,0,0,7.50
Sarfraz Ahmed,Sarfraz Ahmed,T20,30.4,125.7,27.0,23.0,7.04
O Thomas,Oshane Thomas,ODI,2.6,24.5,34.4,29.8,6.91
O Thomas,Oshane Thomas,T20,0,40.0,21.1,13.6,9.29
Mohammad Hafeez,Mohammad Hafeez,ODI,33.0,76.8,38.9,55.7,4.19
Mohammad Hafeez,Mohammad Hafeez,T20,19.1,106.5,28.7,26.5,6.52
Imad Wasim,Imad Wasim,ODI,41.4,109.7,44.4,55.1,4.84
Imad Wasim,Imad Wasim,T20,15.1,123.8,26.8,24.6,6.53
Shadab Khan,Shadab Khan,ODI,24.1,68.6,29.7,35.4,5.03
Shadab Khan,Shadab Khan,T20,10.7,109.5,20.2,18.0,6.72
Hasan Ali,Ali Hasan,ODI,14.0,113.0,29.1,31.1,5.62
Hasan Ali,Ali Hasan,T20,8.7,150.6,18.7,15.6,7.20
Wahab Riaz,Wahab Riaz,ODI,14.2,86.9,35.0,36.6,5.73
Wahab Riaz,Wahab Riaz,T20,16.1,133.2,21.2,17.2,7.39
Mohammad Amir,Mohammad Amir,ODI,17.3,82.0,29.6,37.2,4.78
Mohammad Amir,Mohammad Amir,T20,6.7,100.0,21.0,18.5,6.79
CH Gayle,Chris Gayle,ODI,39.7,89.6,34.8,43.0,4.85
CH Gayle,Chris Gayle,T20,39.2,147.5,40.7,30.4,8.04
SD Hope,Shai Hope,ODI,45.6,75.1,0,0,0
SD Hope,Shai Hope,T20,23.7,127.2,0,0,0
DM Bravo,Darren Bravo,ODI,30.6,70.2,0,0,6.67
DM Bravo,Darren Bravo,T20,29.7,119.2,13.5,6.0,13.50
N Pooran,Nicolas Pooran,ODI,43.9,100.2,0,0,0
N Pooran,Nicolas Pooran,T20,25.3,147.9,0,0,0
SO Hetmyer,Shimron Hetmyer,ODI,36.3,107.2,0,0,0
SO Hetmyer,Shimron Hetmyer,T20,26.0,135.4,0,0,0
HDRL Thirimanne,Lahiru Thirimanne,ODI,35.1,72.3,31.3,34.7,5.42
HDRL Thirimanne,Lahiru Thirimanne,T20,16.4,128.1,0,0,0
MJ Henry,Matt Henry,ODI,15.1,100.0,26.6,29.4,5.43
MJ Henry,Matt Henry,T20,12.5,157.5,40.0,23.2,10.34
MDKJ Perera,Kushal Janith Perera,ODI,30.8,93.0,0,0,0
MDKJ Perera,Kushal Janith Perera,T20,12.2,123.4,0,0,0
FDM Karunaratne,Dimuth Karunaratne,ODI,26.6,72.9,0,0,6.75
FDM Karunaratne,Dimuth Karunaratne,T20,0,0,0,0,0
TA Boult,Trent Boult,ODI,9.6,73.7,25.1,29.8,5.05
TA Boult,Trent Boult,T20,4.3,72.2,29.5,20.6,8.60
